Code,cycles,P25_min,P50_min,P75_min
002540.SZ,5,33109.91635,37347.98148333334,51848.063
002541.SZ,1,69101.09018333333,69101.09018333333,69101.09018333333
002542.SZ,92,1452.0566666666666,4318.2714166666665,7193.454079166667
002543.SZ,1,27.998166666666666,27.998166666666666,27.998166666666666
002544.SZ,11,9239.431916666666,18672.418333333335,44639.27200833333
002545.SZ,3,24400.95981666667,40095.34698333334,165567.26708333334
002546.SZ,23,5546.741333333333,10050.848983333333,29385.248758333335
002547.SZ,11,7161.424666666666,14398.322166666667,28782.075841666665
002548.SZ,5,2863.5158333333334,4316.108666666667,7207.138333333333
002549.SZ,20,4854.085283333334,14582.606325,29197.224374999998
002550.SZ,2,44974.08983333334,76989.73516666668,109005.38050000001
002551.SZ,11,4308.1675,8649.299666666666,11500.335083333332
002552.SZ,23,2068.3161666666665,11537.523483333332,25931.657075000003
002553.SZ,38,3266.957875,7199.449158333333,15470.354504166666
002554.SZ,2,2137.523995833333,2870.5439916666664,3603.5639874999997
002555.SZ,7,8403.7009,17279.168183333335,33145.95485
002556.SZ,18,10332.151804166666,15849.029408333332,32384.86267916667
002557.SZ,19,3082.727083333333,15787.83185,39494.521583333335
002558.SZ,13,23248.05965,30217.529333333332,40412.316666666666
002559.SZ,21,4320.730183333333,12959.594516666666,33118.664683333336
002560.SZ,20,3944.7000375000002,10788.555083333333,27357.496004166667
002561.SZ,7,5037.3617583333335,7190.282,9364.0355
002562.SZ,9,4318.214683333334,5774.105166666666,24458.80383333333
002563.SZ,1,37424.83465,37424.83465,37424.83465
002564.SZ,29,2877.59815,7197.803833333333,10077.090316666667
002565.SZ,19,2872.7766666666666,5761.383,20150.269325
002566.SZ,8,17273.462337499997,41064.108583333335,66178.26533333333
002567.SZ,13,10092.368983333334,22946.97335,57323.275166666666
002568.SZ,9,15774.989316666666,27091.003166666665,37340.98118333334
002569.SZ,8,1430.8875041666665,4299.188916666666,17833.385120833333
002570.SZ,49,2811.3706666666667,5484.391833333333,14436.11135
002571.SZ,27,5722.238666666666,10112.714166666667,29497.56175
002572.SZ,3,26739.636758333334,30440.953016666666,58427.78758333333
002573.SZ,8,13375.986991666667,23033.302583333334,34772.22312083333
002574.SZ,17,10144.407833333333,24423.069016666668,37440.30585
002575.SZ,2,5536.979970833333,6568.261425000001,7599.542879166667
002576.SZ,15,5049.19025,17285.58801666667,43195.48933333333
002577.SZ,5,1421.7378333333334,1447.9431833333333,17278.175
002578.SZ,46,2873.2725499999997,7191.414341666667,12962.552745833334
002579.SZ,3,1427.5892416666666,1440.7384833333333,2152.3684166666667
002580.SZ,15,10067.35875,21660.293833333333,50405.57433333334
002581.SZ,20,2567.208583333333,10083.261675000002,24835.937762499998
002582.SZ,24,6842.523920833333,10081.903241666667,25545.756999999998
002583.SZ,18,5399.763245833334,13646.24165,31241.8016125
002584.SZ,52,2516.0172916666666,5761.097841666667,17631.757804166667
002585.SZ,20,5681.081154166667,16652.299741666666,30999.917637500002
002586.SZ,76,2851.33575,4274.93975,7146.415083333333
002587.SZ,40,2879.6810374999995,5753.838433333333,16197.610916666667
002588.SZ,1,21.156833333333335,21.156833333333335,21.156833333333335
002589.SZ,48,2886.938779166667,7090.873083333334,11891.430416666666
002590.SZ,18,8999.292891666668,19441.495750000002,37801.6574625
002591.SZ,45,2883.978833333333,7200.05165,15811.955833333333
002592.SZ,2,2448.6643416666666,4893.752166666666,7338.839991666666
002593.SZ,41,4300.9925,5769.810833333333,10130.768333333333
002594.SZ,32,2891.1665708333335,11505.167091666666,28616.5603625
002595.SZ,5,59224.367333333335,60262.79265,67444.42051666667
002596.SZ,72,1447.7809124999999,4324.308175,7196.7099625
002597.SZ,11,9263.808933333334,24475.85815,52471.373999999996
002598.SZ,7,22202.201258333334,25694.556666666667,30147.012991666666
002599.SZ,19,10700.432666666668,18933.759516666665,40321.207500000004
002600.SZ,16,9718.664916666667,21598.163008333333,34915.38325
002601.SZ,5,37446.95535,43126.89298333333,116794.39285
002602.SZ,35,4450.726091666666,8628.400666666666,18006.368833333334
002603.SZ,19,4893.860425,15559.886666666667,45309.871333333336
002605.SZ,4,1073.1022916666666,3594.49825,15116.674920833335
002606.SZ,7,19342.231,28769.45466666667,55530.46283333333
002607.SZ,83,1440.0310166666668,4315.232,7193.893666666667
002608.SZ,4,84313.2874875,88544.69449166667,110136.909125
